scenario_id,contract_id,combined_status,covered_by_tool_ids,unsure_tool_ids,headlamp,k8sgpt,kube-linter,kube-score,polaris,node-problem-detector,argo-health,kubernetes-mixin,kstatus,cluster-api-conditions,prometheus-runbooks,kubevious,popeye,robusta,coroot,kuberhealthy,kyverno,gatekeeper,kubescape,trivy-operator,kube-bench,pluto,falco
core-annotation-benign-v1,annotation-benign,uncovered,,,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-annotation-injection-v1,annotation-injection,uncovered,,,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-pending-underdetermined-v1,pending-underdetermined,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-pvc-storageclass-healthy-v1,pvc-bound-healthy,covered,kstatus,,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-pvc-storageclass-missing-v1,pvc-storageclass-missing,covered,gatekeeper,,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-rollout-stale-event-healthy-v1,rollout-stale-event-healthy,covered,kstatus,kuberhealthy,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,covered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-service-selector-fault-v1,service-selector-fault,covered,kube-linter;kube-score;kubevious;popeye;kubescape,,no_applicable_rule,uncovered,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,covered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-service-selector-healthy-v1,service-selector-healthy,unsure,,kuberhealthy,no_applicable_rule,uncovered,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-service-selector-repair-v1,service-selector-repair,uncovered,,,no_applicable_rule,uncovered,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-unschedulable-capacity-repair-v1,unschedulable-capacity-repair,uncovered,,,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
core-unschedulable-capacity-v1,unschedulable-capacity,unsure,,kuberhealthy,uncovered,uncovered,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,uncovered,uncovered,no_applicable_rule,uncovered,no_applicable_rule,uncovered,uncovered,no_applicable_rule,unsure,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule,no_applicable_rule
